Virus Name,Virus Protein,Host protein
SARS-CoV-1,nsp13,Q96SN8
SARS-CoV-1,nsp13,Q99996
SARS-CoV-1,nsp13,Q9BQQ3
SARS-CoV-1,nsp13,Q9BV19
SARS-CoV-1,nsp13,Q9BV73
SARS-CoV-1,nsp13,Q9BZF9
SARS-CoV-1,nsp13,Q9H0E2
SARS-CoV-1,nsp13,Q9ULV0
SARS-CoV-1,nsp13,Q9UM54
SARS-CoV-1,nsp13,Q9UPN4
SARS-CoV-1,nsp13,Q9UPQ0
SARS-CoV-1,nsp13,Q9Y4I1
SARS-CoV-1,nsp13,Q9Y608
SARS-CoV-1,nsp13,P35579
SARS-CoV-1,nsp13,Q8N4C6
SARS-CoV-1,nsp13,Q8WWI1
SARS-CoV-1,nsp13,Q9Y2I6
SARS-CoV-1,nsp14,O95714
SARS-CoV-1,nsp14,P06280
SARS-CoV-1,nsp14,P12268
SARS-CoV-1,nsp14,Q96JN8
SARS-CoV-1,nsp14,Q9NXA8
SARS-CoV-1,nsp15,P62330
SARS-CoV-1,nsp16,O60232
SARS-CoV-1,nsp16,P28838
SARS-CoV-1,nsp16,Q567U6
SARS-CoV-1,nsp16,Q5SVZ6
SARS-CoV-1,nsp16,Q8IUD2
SARS-CoV-1,nsp16,Q8TEM1
SARS-CoV-1,nsp16,Q9UKF6
SARS-CoV-1,nsp16,Q9Y2S7
SARS-CoV-1,nsp2,O00303
SARS-CoV-1,nsp2,O15372
SARS-CoV-1,nsp2,O60573
SARS-CoV-1,nsp2,O75821
SARS-CoV-1,nsp2,O75822
SARS-CoV-1,nsp2,P52306
SARS-CoV-1,nsp2,P60228
SARS-CoV-1,nsp2,Q14152
SARS-CoV-1,nsp2,Q6NUN9
SARS-CoV-1,nsp2,Q6Y7W6
SARS-CoV-1,nsp2,Q7L2H7
SARS-CoV-1,nsp2,Q86UK7
SARS-CoV-1,nsp2,Q99613
SARS-CoV-1,nsp2,Q9C037
SARS-CoV-1,nsp2,Q9UBQ5
SARS-CoV-1,nsp2,Q9Y262
SARS-CoV-1,nsp2,O15371
SARS-CoV-1,nsp2,P55884
SARS-CoV-1,nsp2,Q13347
SARS-CoV-1,nsp4,P14735
SARS-CoV-1,nsp4,P62699
SARS-CoV-1,nsp4,Q6VN20
SARS-CoV-1,nsp4,Q7L5Y9
SARS-CoV-1,nsp4,Q96S59
SARS-CoV-1,nsp4,Q9H7D7
SARS-CoV-1,nsp4,Q9H871
SARS-CoV-1,nsp4,Q9NWU2
SARS-CoV-1,nsp5_C145A,P07203
SARS-CoV-1,nsp5_C145A,Q9NXH9
SARS-CoV-1,nsp6,Q99720
SARS-CoV-1,nsp7,A8MTT3
SARS-CoV-1,nsp7,O94766
SARS-CoV-1,nsp7,P00387
SARS-CoV-1,nsp7,P61006
SARS-CoV-1,nsp7,Q12907
SARS-CoV-1,nsp7,Q2TAA5
SARS-CoV-1,nsp7,Q5VT66
SARS-CoV-1,nsp7,Q6P1Q0
SARS-CoV-1,nsp7,Q6ZRP7
SARS-CoV-1,nsp7,Q7LGA3
SARS-CoV-1,nsp7,Q8IUR0
SARS-CoV-1,nsp7,Q8NBX0
SARS-CoV-1,nsp7,Q8WTV0
SARS-CoV-1,nsp7,Q8WUY8
SARS-CoV-1,nsp7,Q96A26
SARS-CoV-1,nsp7,Q96ER9
SARS-CoV-1,nsp7,Q96KC8
SARS-CoV-1,nsp7,Q9BQE4
SARS-CoV-1,nsp7,Q9H7Z7
SARS-CoV-1,nsp7,Q9NYP7
SARS-CoV-1,nsp7,Q9Y3D7
SARS-CoV-1,nsp8,O00566
SARS-CoV-1,nsp8,O76094
SARS-CoV-1,nsp8,O95260
SARS-CoV-1,nsp8,P09132
SARS-CoV-1,nsp8,Q13206
SARS-CoV-1,nsp8,Q14692
SARS-CoV-1,nsp8,Q15397
SARS-CoV-1,nsp8,Q4G0J3
SARS-CoV-1,nsp8,Q7L2J0
SARS-CoV-1,nsp8,Q8IY37
SARS-CoV-1,nsp8,Q8N983
SARS-CoV-1,nsp8,Q96B26
SARS-CoV-1,nsp8,Q96FK6
SARS-CoV-1,nsp8,Q9BSC4
SARS-CoV-1,nsp8,Q9H6F5
SARS-CoV-1,nsp8,Q9NY61
SARS-CoV-1,nsp8,Q9UGI8
SARS-CoV-1,nsp8,Q9UL40
SARS-CoV-1,nsp8,Q9ULT8
SARS-CoV-1,nsp8,P82675
SARS-CoV-1,nsp8,Q8NEJ9
SARS-CoV-1,nsp8,Q9NQT4
SARS-CoV-1,nsp8,Q9NQT5
SARS-CoV-1,nsp8,Q9Y3B7
SARS-CoV-1,nsp9,O00142
SARS-CoV-1,nsp9,P35556
SARS-CoV-1,nsp9,P61962
SARS-CoV-1,nsp9,Q14232
SARS-CoV-1,nsp9,Q86YT6
SARS-CoV-1,nsp9,Q8N0X7
SARS-CoV-1,nsp9,Q8N1G2
SARS-CoV-1,nsp9,Q8TD19
SARS-CoV-1,orf3a,O95573
SARS-CoV-1,orf3a,Q92734
SARS-CoV-1,orf3a,Q96S66
SARS-CoV-1,orf6,P52948
SARS-CoV-1,orf6,P78406
SARS-CoV-1,orf6,Q96AQ6
